Timeline,filters,Count
"2017-03-11 18:00",CMSPool,"8,682"
"2017-03-11 18:00",PhEDEx,184
"2017-03-11 18:00",LCGAdmin,343
"2017-03-11 18:00",LIGO,17
"2017-03-11 18:00",Others,0
"2017-03-11 19:00",CMSProd,"4,558"
"2017-03-11 19:00",CMSPool,"7,220"
"2017-03-11 19:00",PhEDEx,206
"2017-03-11 19:00",LCGAdmin,317
"2017-03-11 19:00",LIGO,27
"2017-03-11 19:00",Others,0
"2017-03-11 20:00",CMSProd,"4,637"
"2017-03-11 20:00",CMSPool,"3,831"
"2017-03-11 20:00",PhEDEx,151
"2017-03-11 20:00",LCGAdmin,345
"2017-03-11 20:00",LIGO,"7,544"
"2017-03-11 20:00",Others,0
"2017-03-11 21:00",CMSProd,"4,886"
"2017-03-11 21:00",CMSPool,"4,084"
"2017-03-11 21:00",PhEDEx,161
"2017-03-11 21:00",LCGAdmin,299
"2017-03-11 21:00",LIGO,766
"2017-03-11 21:00",Others,0
"2017-03-11 22:00",CMSProd,"4,743"
"2017-03-11 22:00",CMSPool,"1,899"
"2017-03-11 22:00",PhEDEx,205
"2017-03-11 22:00",LCGAdmin,344
"2017-03-11 22:00",LIGO,9
"2017-03-11 22:00",Others,0
"2017-03-11 23:00",CMSProd,"5,094"
"2017-03-11 23:00",CMSPool,"1,640"
"2017-03-11 23:00",PhEDEx,259
"2017-03-11 23:00",LCGAdmin,311
"2017-03-11 23:00",LIGO,9
"2017-03-11 23:00",Others,0
"2017-03-12 00:00",CMSProd,"6,050"
"2017-03-12 00:00",CMSPool,"2,372"
"2017-03-12 00:00",PhEDEx,290
"2017-03-12 00:00",LCGAdmin,252
"2017-03-12 00:00",LIGO,4
"2017-03-12 00:00",Others,0
"2017-03-12 01:00",CMSProd,"4,329"
"2017-03-12 01:00",CMSPool,"2,988"
"2017-03-12 01:00",PhEDEx,296
"2017-03-12 01:00",LCGAdmin,288
"2017-03-12 01:00",LIGO,4
"2017-03-12 01:00",Others,0
"2017-03-12 03:00",CMSProd,"2,970"
"2017-03-12 03:00",CMSPool,"1,552"
"2017-03-12 03:00",PhEDEx,187
"2017-03-12 03:00",LCGAdmin,327
"2017-03-12 03:00",LIGO,8
"2017-03-12 03:00",Others,0
"2017-03-12 04:00",CMSProd,"3,407"
"2017-03-12 04:00",CMSPool,"1,637"
"2017-03-12 04:00",PhEDEx,307
"2017-03-12 04:00",LCGAdmin,285
"2017-03-12 04:00",LIGO,8
"2017-03-12 04:00",Others,0
"2017-03-12 05:00",CMSProd,"3,355"
"2017-03-12 05:00",CMSPool,"2,077"
"2017-03-12 05:00",PhEDEx,273
"2017-03-12 05:00",LCGAdmin,302
"2017-03-12 05:00",LIGO,8
"2017-03-12 05:00",Others,0
"2017-03-12 06:00",CMSProd,"3,600"
"2017-03-12 06:00",CMSPool,"5,301"
