Timeline,filters,Count
2017-03-10 20:00,LCGAdmin,278
2017-03-10 20:00,LIGO,8
2017-03-10 20:00,Others,0
2017-03-10 21:00,CMSProd,3000
2017-03-10 21:00,CMSPool,2514
2017-03-10 21:00,PhEDEx,263
2017-03-10 21:00,LCGAdmin,320
2017-03-10 21:00,LIGO,8
2017-03-10 21:00,Others,0
2017-03-10 22:00,CMSProd,1552
2017-03-10 22:00,CMSPool,2599
2017-03-10 22:00,PhEDEx,281
2017-03-10 22:00,LCGAdmin,288
2017-03-10 22:00,LIGO,8
2017-03-10 22:00,Others,0
2017-03-10 23:00,CMSProd,2115
2017-03-10 23:00,CMSPool,3276
2017-03-10 23:00,PhEDEx,297
2017-03-10 23:00,LCGAdmin,315
2017-03-10 23:00,LIGO,4
2017-03-10 23:00,Others,0
2017-03-11 00:00,CMSProd,2728
2017-03-11 00:00,CMSPool,4606
2017-03-11 00:00,PhEDEx,298
2017-03-11 00:00,LCGAdmin,294
2017-03-11 00:00,LIGO,4
2017-03-11 00:00,Others,0
2017-03-11 01:00,CMSProd,3545
2017-03-11 01:00,CMSPool,3981
2017-03-11 01:00,PhEDEx,747
2017-03-11 01:00,LCGAdmin,314
2017-03-11 01:00,LIGO,8
2017-03-11 01:00,Others,0
2017-03-11 02:00,CMSProd,3911
2017-03-11 02:00,CMSPool,3433
2017-03-11 02:00,PhEDEx,311
2017-03-11 02:00,LCGAdmin,309
2017-03-11 02:00,LIGO,8
2017-03-11 02:00,Others,0
2017-03-11 03:00,CMSProd,4578
2017-03-11 03:00,CMSPool,2782
2017-03-11 03:00,PhEDEx,239
2017-03-11 03:00,LCGAdmin,306
2017-03-11 03:00,LIGO,8
2017-03-11 03:00,Others,0
2017-03-11 04:00,CMSProd,4669
2017-03-11 04:00,CMSPool,2050
2017-03-11 04:00,PhEDEx,296
2017-03-11 04:00,LCGAdmin,318
2017-03-11 04:00,LIGO,8
2017-03-11 04:00,Others,0
2017-03-11 05:00,CMSProd,3858
2017-03-11 05:00,CMSPool,1523
2017-03-11 05:00,PhEDEx,130
2017-03-11 05:00,LCGAdmin,306
2017-03-11 05:00,LIGO,8
2017-03-11 05:00,Others,0
2017-03-11 06:00,CMSProd,3621
2017-03-11 06:00,CMSPool,1064
2017-03-11 06:00,PhEDEx,232
2017-03-11 06:00,LCGAdmin,311
2017-03-11 06:00,LIGO,8
